[2025-10-02 16:31:45.300303] Token: LINK | Whale txs found: 1 | Blocks scanned: 23491185 to 23491309
[2025-10-02 16:48:27.087648] Token: LINK | Whale txs found: 0 | Blocks scanned: 23491310 to 23491392
[2025-10-02 17:16:19.556302] Token: LINK | Whale txs found: 0 | Blocks scanned: 23491393 to 23491532
[2025-10-02 17:31:24.525790] Token: LINK | Whale txs found: 0 | Blocks scanned: 23491533 to 23491607
[2025-10-02 18:43:58.408730] Token: LINK | Whale txs found: 4 | Blocks scanned: 23491608 to 23491968
[2025-10-02 19:24:28.500512] Token: LINK | Whale txs found: 2 | Blocks scanned: 23491969 to 23492169
[2025-10-04 04:59:49.324555] Token: LINK | Whale txs found: 40 | Blocks scanned: 23492170 to 23502182
[2025-10-04 05:05:22.384955] Token: LINK | Whale txs found: 2 | Blocks scanned: 23502183 to 23502209
[2025-10-04 05:11:02.243674] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502210 to 23502237
[2025-10-04 05:12:48.442445] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502238 to 23502246
[2025-10-04 05:22:59.365074] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502247 to 23502297
[2025-10-04 06:28:57.949548] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502298 to 23502624
[2025-10-04 06:30:42.341052] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502625 to 23502632
[2025-10-04 06:59:05.522347] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502633 to 23502774
[2025-10-04 07:04:30.190948] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502775 to 23502800
[2025-10-04 07:13:58.466519] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502801 to 23502848
[2025-10-04 07:20:28.307717] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502849 to 23502880
[2025-10-04 07:21:23.449039] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502881 to 23502885
[2025-10-04 07:22:44.046063] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502886 to 23502892
[2025-10-04 07:28:15.202234] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502893 to 23502919
[2025-10-04 07:30:53.343748] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502920 to 23502933
[2025-10-04 07:49:27.399170] Token: LINK | Whale txs found: 0 | Blocks scanned: 23502934 to 23503024
[2025-10-04 07:57:43.991656] Token: LINK | Whale txs found: 1 | Blocks scanned: 23503025 to 23503066
[2025-10-04 10:25:08.912685] Token: LINK | Whale txs found: 5 | Blocks scanned: 23503067 to 23503801
[2025-10-04 10:34:03.053504] Token: LINK | Whale txs found: 1 | Blocks scanned: 23503802 to 23503845
[2025-10-04 10:44:14.940636] Token: LINK | Whale txs found: 0 | Blocks scanned: 23503846 to 23503896
[2025-10-04 10:49:23.421388] Token: LINK | Whale txs found: 0 | Blocks scanned: 23503897 to 23503922
[2025-10-04 11:00:29.682726] Token: LINK | Whale txs found: 0 | Blocks scanned: 23503923 to 23503977
[2025-10-04 11:15:26.744099] Token: LINK | Whale txs found: 1 | Blocks scanned: 23503978 to 23504051
[2025-10-04 11:23:47.715356] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504052 to 23504093
[2025-10-04 11:27:58.996754] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504094 to 23504114
[2025-10-04 11:36:49.947400] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504115 to 23504157
[2025-10-04 12:54:45.058143] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504158 to 23504547
[2025-10-04 13:37:19.711787] Token: LINK | Whale txs found: 1 | Blocks scanned: 23504548 to 23504756
[2025-10-04 13:52:39.683450] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504757 to 23504832
[2025-10-04 13:55:06.099948] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504833 to 23504844
[2025-10-04 13:58:00.796404] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504845 to 23504858
[2025-10-04 14:00:22.789690] Token: LINK | Whale txs found: 0 | Blocks scanned: 23504859 to 23504869
[2025-10-04 14:56:19.699219] Token: LINK | Whale txs found: 3 | Blocks scanned: 23504870 to 23505145
[2025-10-04 15:36:47.935829] Token: LINK | Whale txs found: 0 | Blocks scanned: 23505146 to 23505345
[2025-10-04 16:47:39.313323] Token: LINK | Whale txs found: 0 | Blocks scanned: 23505346 to 23505698
[2025-10-04 18:50:50.679099] Token: LINK | Whale txs found: 0 | Blocks scanned: 23505699 to 23506313
[2025-10-04 19:09:19.300691] Token: LINK | Whale txs found: 0 | Blocks scanned: 23506314 to 23506403
[2025-10-04 19:31:50.230324] Token: LINK | Whale txs found: 0 | Blocks scanned: 23506404 to 23506514
[2025-10-04 19:51:23.435676] Token: LINK | Whale txs found: 0 | Blocks scanned: 23506515 to 23506612
[2025-10-05 06:35:44.538438] Token: LINK | Whale txs found: 1 | Blocks scanned: 23506613 to 23509813
[2025-10-05 06:46:40.026943] Token: LINK | Whale txs found: 0 | Blocks scanned: 23509814 to 23509867
[2025-10-05 07:01:50.776713] Token: LINK | Whale txs found: 0 | Blocks scanned: 23509868 to 23509942
[2025-10-05 08:59:16.771517] Token: LINK | Whale txs found: 2 | Blocks scanned: 23509943 to 23510523
[2025-10-05 09:02:33.516722] Token: LINK | Whale txs found: 0 | Blocks scanned: 23510524 to 23510540
[2025-10-05 09:26:28.255282] Token: LINK | Whale txs found: 0 | Blocks scanned: 23510541 to 23510658
[2025-10-05 10:07:40.705448] Token: LINK | Whale txs found: 4 | Blocks scanned: 23510659 to 23510863
