[2025-10-05 08:59:17.507091] Error scanning token EIGEN: 'NoneType' object has no attribute 'get'
[2025-10-05 09:03:06.852454] Token: EIGEN | Whale txs found: 606 | Blocks scanned: 1 to 23510542
[2025-10-05 09:28:23.617294] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23510543 to 23510664
[2025-10-05 10:08:35.735929] Token: EIGEN | Whale txs found: 9 | Blocks scanned: 23510665 to 23510867
[2025-10-05 10:35:04.503618] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23510868 to 23510998
[2025-10-05 10:38:26.494186] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23510999 to 23511015
[2025-10-05 10:58:11.939549] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511016 to 23511114
[2025-10-05 11:17:47.765676] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511115 to 23511212
[2025-10-05 11:37:59.397379] Token: EIGEN | Whale txs found: 2 | Blocks scanned: 23511213 to 23511313
[2025-10-05 11:58:22.765801] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511314 to 23511414
[2025-10-05 12:16:40.899594] Token: EIGEN | Whale txs found: 2 | Blocks scanned: 23511415 to 23511506
[2025-10-05 12:19:33.380579] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511507 to 23511521
[2025-10-05 12:23:50.945409] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511522 to 23511542
[2025-10-05 12:30:43.453018] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23511543 to 23511577
[2025-10-05 13:01:54.379502] Token: EIGEN | Whale txs found: 9 | Blocks scanned: 23511578 to 23511732
[2025-10-05 13:28:22.172388] Token: EIGEN | Whale txs found: 1 | Blocks scanned: 23511733 to 23511865
[2025-10-05 14:55:50.424323] Token: EIGEN | Whale txs found: 2 | Blocks scanned: 23512026 to 23512300
[2025-10-05 15:24:27.918811] Token: EIGEN | Whale txs found: 5 | Blocks scanned: 23512301 to 23512443
[2025-10-05 15:43:18.440385] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23512444 to 23512536
[2025-10-05 15:55:07.366272] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23512537 to 23512593
[2025-10-05 16:50:36.357677] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23512594 to 23512870
[2025-10-06 05:02:24.747739] Token: EIGEN | Whale txs found: 43 | Blocks scanned: 23514024 to 23516510
[2025-10-06 05:21:16.355723] Token: EIGEN | Whale txs found: 2 | Blocks scanned: 23516511 to 23516604
[2025-10-06 05:27:10.649012] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23516605 to 23516633
[2025-10-06 05:56:57.101517] Token: EIGEN | Whale txs found: 1 | Blocks scanned: 23516634 to 23516783
[2025-10-06 06:08:59.155199] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23516784 to 23516841
[2025-10-06 06:31:30.784455] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23516842 to 23516953
[2025-10-06 06:44:46.186371] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23516981 to 23517019
[2025-10-06 07:15:04.609109] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23517020 to 23517170
[2025-10-06 07:43:56.546083] Token: EIGEN | Whale txs found: 1 | Blocks scanned: 23517171 to 23517316
[2025-10-06 07:52:35.527969] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23517317 to 23517356
[2025-10-06 07:58:35.964790] Token: EIGEN | Whale txs found: 0 | Blocks scanned: 23517357 to 23517386
[2025-10-07 08:24:59.561945] Token: EIGEN | Whale txs found: 33 | Blocks scanned: 23523122 to 23524663
[2025-10-07 08:48:07.980813] Token: EIGEN | Whale txs found: 20 | Blocks scanned: 23524664 to 23524778
[2025-10-07 09:01:18.613477] Token: EIGEN | Whale txs found: 9 | Blocks scanned: 23524779 to 23524845
[2025-10-07 09:17:06.675618] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23524846 to 23524922
[2025-10-07 09:23:44.478262] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23524923 to 23524954
[2025-10-07 09:33:25.885213] Token: EIGEN | Whale txs found: 3 | Blocks scanned: 23524955 to 23525003
[2025-10-07 10:59:56.249124] Token: EIGEN | Whale txs found: 28 | Blocks scanned: 23525004 to 23525434
[2025-10-07 11:03:25.421579] Token: EIGEN | Whale txs found: 1 | Blocks scanned: 23525435 to 23525452
[2025-10-07 11:17:15.907508] Token: EIGEN | Whale txs found: 5 | Blocks scanned: 23525453 to 23525521
[2025-10-07 12:24:20.453475] Token: EIGEN | Whale txs found: 7 | Blocks scanned: 23525522 to 23525853
[2025-10-07 12:37:50.742122] Token: EIGEN | Whale txs found: 4 | Blocks scanned: 23525854 to 23525919
[2025-10-07 13:10:12.461632] Token: EIGEN | Whale txs found: 20 | Blocks scanned: 23525920 to 23526083
[2025-10-07 13:52:36.191704] Token: EIGEN | Whale txs found: 13 | Blocks scanned: 23526084 to 23526292
